"State","year","rent_type","value"
"Alabama","2015","MGR - Total",729
"Alabama","2015","MGR - Studio",606
"Alabama","2015","MGR - 1 BDRM",567
"Alabama","2015","MGR - 2 BDRM",702
"Alabama","2016","MGR - Total",743
"Alabama","2016","MGR - Studio",536
"Alabama","2016","MGR - 1 BDRM",575
"Alabama","2016","MGR - 2 BDRM",714
"Alabama","2017","MGR - Total",750
"Alabama","2017","MGR - Studio",590
"Alabama","2017","MGR - 1 BDRM",587
"Alabama","2017","MGR - 2 BDRM",721
"Alabama","2018","MGR - Total",788
"Alabama","2018","MGR - Studio",586
"Alabama","2018","MGR - 1 BDRM",605
"Alabama","2018","MGR - 2 BDRM",752
"Alabama","2019","MGR - Total",807
"Alabama","2019","MGR - Studio",562
"Alabama","2019","MGR - 1 BDRM",651
"Alabama","2019","MGR - 2 BDRM",777
"Alaska","2015","MGR - Total",1163
"Alaska","2015","MGR - Studio",800
"Alaska","2015","MGR - 1 BDRM",892
"Alaska","2015","MGR - 2 BDRM",1170
"Alaska","2016","MGR - Total",1208
"Alaska","2016","MGR - Studio",744
"Alaska","2016","MGR - 1 BDRM",936
"Alaska","2016","MGR - 2 BDRM",1203
"Alaska","2017","MGR - Total",1201
"Alaska","2017","MGR - Studio",760
"Alaska","2017","MGR - 1 BDRM",853
"Alaska","2017","MGR - 2 BDRM",1208
"Alaska","2018","MGR - Total",1177
"Alaska","2018","MGR - Studio",822
"Alaska","2018","MGR - 1 BDRM",897
"Alaska","2018","MGR - 2 BDRM",1162
"Alaska","2019","MGR - Total",1201
"Alaska","2019","MGR - Studio",806
"Alaska","2019","MGR - 1 BDRM",881
"Alaska","2019","MGR - 2 BDRM",1220
"Arizona","2015","MGR - Total",933
"Arizona","2015","MGR - Studio",652
"Arizona","2015","MGR - 1 BDRM",715
"Arizona","2015","MGR - 2 BDRM",880
"Arizona","2016","MGR - Total",976
"Arizona","2016","MGR - Studio",679
"Arizona","2016","MGR - 1 BDRM",751
"Arizona","2016","MGR - 2 BDRM",935
"Arizona","2017","MGR - Total",1020
"Arizona","2017","MGR - Studio",802
