state,year,homeless_individual,homeless_family,statename,population,homeless_individual_rate,homeless_family_rate,unemployment_rate,poverty_rate,median_income,fmr_studio,mgr_studio,min_wage
AK,2015,1342,614,alaska,737498,0.18,0.08,6.5,9.2,75110,724,800,8.75
AK,2016,1527,413,alaska,741456,0.21,0.06,6.9,12.6,75720,758,744,9.75
AK,2017,1354,491,alaska,739700,0.18,0.07,7,12.1,72230,848,760,9.8
AK,2018,1434,582,alaska,735139,0.2,0.08,6.6,13.1,68730,843,822,9.84
AK,2019,1384,523,alaska,731545,0.19,0.07,5.6,10.2,78390,864,806,10.19
AL,2015,2868,1102,alabama,4852347,0.06,0.02,6.1,16.3,44510,486,606,0
AL,2016,3019,1092,alabama,4863525,0.06,0.02,5.8,16.2,47220,483,536,0
AL,2017,2985,808,alabama,4874486,0.06,0.02,4.4,15.3,51110,524,590,0
AL,2018,2570,864,alabama,4887681,0.05,0.02,3.9,16,49940,519,586,0
AL,2019,2519,742,alabama,4903185,0.05,0.02,3.2,12.9,56200,530,562,0
AR,2015,1833,727,arkansas,2978048,0.06,0.02,5,16.1,42800,448,514,7.5
AR,2016,1838,625,arkansas,2989918,0.06,0.02,4,16,45910,467,502,8
AR,2017,2068,399,arkansas,3001345,0.07,0.01,3.7,14.9,48830,480,499,8.5
AR,2018,2280,432,arkansas,3009733,0.08,0.01,3.7,15.9,49780,490,588,8.5
AR,2019,2303,414,arkansas,3017804,0.08,0.01,3.5,14.1,54540,501,536,9.25
AZ,2015,6548,3348,arizona,6829676,0.1,0.05,6.1,17.2,52250,540,652,8.05
AZ,2016,6659,3048,arizona,6941072,0.1,0.04,5.4,16.1,57100,580,679,8.05
AZ,2017,6488,2459,arizona,7044008,0.09,0.03,4.9,13.6,61130,584,802,10
AZ,2018,7259,2606,arizona,7158024,0.1,0.04,4.8,12.8,62280,605,758,10.5
AZ,2019,7538,2469,arizona,7278717,0.1,0.03,4.8,9.9,70670,637,788,12
CA,2015,93156,22582,california,38918045,0.24,0.06,6.2,13.9,63640,749,960,9
CA,2016,97660,20482,california,39167117,0.25,0.05,5.5,13.9,66640,788,1022,10
CA,2017,110260,21272,california,39358497,0.28,0.05,4.8,12.1,69760,844,1086,10
CA,2018,109008,20964,california,39461588,0.28,0.05,4.2,11.9,70490,884,1150,11
CA,2019,128777,22501,california,39512223,0.33,0.06,4.1,10.1,78110,930,1248,12
CO,2015,5729,4224,colorado,5450623,0.11,0.08,3.9,9.9,66600,591,815,8.23
CO,2016,6450,4100,colorado,5539215,0.12,0.07,3.2,8.5,70570,627,855,8.31
CO,2017,7571,3369,colorado,5611885,0.13,0.06,2.7,8.9,74170,649,947,9.3
CO,2018,7607,3250,colorado,5691287,0.13,0.06,3.3,9.1,73030,710,976,10.2
CO,2019,7263,2356,colorado,5758736,0.13,0.04,2.7,9.3,72500,744,1068,12
CT,2015,2719,1328,connecticut,3587122,0.08,0.04,5.7,9.1,72890,790,740,9.15
CT,2016,2570,1332,connecticut,3578141,0.07,0.04,5.1,9.8,75920,788,722,9.6
CT,2017,2208,1180,connecticut,3573297,0.06,0.03,4.7,10.6,72780,806,780,10.1
CT,2018,2280,1696,connecticut,3571520,0.06,0.05,4.1,10.2,72810,833,802,10.1
CT,2019,2100,933,connecticut,3565287,0.06,0.03,3.6,8.3,87290,836,846,11
DC,2015,3821,3477,district of columbia,675400,0.57,0.51,6.9,16.6,70070,1167,1376,10.5
DC,2016,3683,4667,district of columbia,685815,0.54,0.68,6.1,16.3,70980,1307,1358,11.5
DC,2017,3583,3890,district of columbia,694906,0.52,0.56,6.1,13.9,83380,1440,1541,11.5
DC,2018,3770,3134,district of columbia,701547,0.54,0.45,5.6,14.7,85750,1504,1514,13.25
DC,2019,3875,2646,district of columbia,705749,0.55,0.37,5.5,12.5,93110,1415,1573,14
DE,2015,602,351,delaware,941252,0.06,0.04,4.9,11.1,57760,725,823,8.25
DE,2016,753,317,delaware,948921,0.08,0.03,4.5,11.6,58050,739,870,8.25
DE,2017,615,379,delaware,956823,0.06,0.04,4.5,8.8,62320,765,842,8.25
DE,2018,708,374,delaware,965479,0.07,0.04,3.8,7.4,65010,750,864,8.25
DE,2019,565,356,delaware,973764,0.06,0.04,3.6,6.5,74190,800,973,9.25
FL,2015,26325,9575,florida,20209042,0.13,0.05,5.5,16.2,48830,609,783,8.05
FL,2016,24201,9358,florida,20613477,0.12,0.05,4.8,13,51180,617,840,8.05
FL,2017,22768,9422,florida,20963613,0.11,0.04,4.2,13.4,53680,643,858,8.1
FL,2018,21443,9587,florida,21244317,0.1,0.05,3.6,13.7,54640,665,931,8.25
FL,2019,21265,7063,florida,21477737,0.1,0.03,3.2,11.5,58370,705,1002,8.56
GA,2015,9702,4088,georgia,10178447,0.1,0.04,6,18.1,50770,516,753,5.15
GA,2016,9265,3644,georgia,10301890,0.09,0.04,5.4,15.4,53530,557,722,5.15
GA,2017,7422,2752,georgia,10410330,0.07,0.03,4.7,13.1,57020,561,761,5.15
GA,2018,6943,2556,georgia,10511131,0.07,0.02,3.9,14.8,55820,599,853,5.15
GA,2019,7913,2530,georgia,10617423,0.07,0.02,3.6,12.1,56630,619,885,5.15
HI,2015,4307,3313,hawaii,1422052,0.3,0.23,3.6,10.9,64510,847,987,7.75
HI,2016,4590,3331,hawaii,1427559,0.32,0.23,3,9.3,72130,859,1061,8.5
HI,2017,4535,2685,hawaii,1424393,0.32,0.19,2.4,10.6,73580,942,1070,9.25
HI,2018,4131,2399,hawaii,1420593,0.29,0.17,2.4,9.2,80110,1089,1016,10.1
HI,2019,4420,1992,hawaii,1415872,0.31,0.14,2.5,8.4,88010,1122,1078,10.1
IA,2015,1501,1580,iowa,3120960,0.05,0.05,3.8,10.4,60860,429,543,7.25
IA,2016,1543,1521,iowa,3131371,0.05,0.05,3.6,9.8,59090,455,582,7.25
IA,2017,1500,1256,iowa,3141550,0.05,0.04,3.1,7.5,63480,474,562,7.25
IA,2018,1711,1038,iowa,3148618,0.05,0.03,2.5,8.9,68720,488,631,7.25
IA,2019,1574,741,iowa,3155070,0.05,0.02,2.7,9.5,66050,504,568,7.25
ID,2015,1172,794,idaho,1651059,0.07,0.05,4.2,12.3,51620,483,515,7.25
ID,2016,1284,963,idaho,1682380,0.08,0.06,3.8,11.1,56560,500,570,7.25
ID,2017,1309,728,idaho,1717715,0.08,0.04,3.2,11.5,60210,518,605,7.25
