"statename","year","BDRM1","BDRM2","Studio","MGR_all","state"
"Alabama",2015,567,702,606,729,"AL"
"Alabama",2015,567,702,606,729,"AL"
"Alabama",2015,567,702,606,729,"AL"
"Alabama",2016,575,714,536,743,"AL"
"Alabama",2016,575,714,536,743,"AL"
"Alabama",2016,575,714,536,743,"AL"
"Alabama",2017,587,721,590,750,"AL"
"Alabama",2017,587,721,590,750,"AL"
"Alabama",2017,587,721,590,750,"AL"
"Alabama",2018,605,752,586,788,"AL"
"Alabama",2018,605,752,586,788,"AL"
"Alabama",2018,605,752,586,788,"AL"
"Alabama",2019,651,777,562,807,"AL"
"Alabama",2019,651,777,562,807,"AL"
"Alabama",2019,651,777,562,807,"AL"
"Alaska",2015,892,1170,800,1163,"AK"
"Alaska",2015,892,1170,800,1163,"AK"
"Alaska",2015,892,1170,800,1163,"AK"
"Alaska",2016,936,1203,744,1208,"AK"
"Alaska",2016,936,1203,744,1208,"AK"
"Alaska",2016,936,1203,744,1208,"AK"
"Alaska",2017,853,1208,760,1201,"AK"
"Alaska",2017,853,1208,760,1201,"AK"
"Alaska",2017,853,1208,760,1201,"AK"
"Alaska",2018,897,1162,822,1177,"AK"
"Alaska",2018,897,1162,822,1177,"AK"
"Alaska",2018,897,1162,822,1177,"AK"
"Alaska",2019,881,1220,806,1201,"AK"
"Alaska",2019,881,1220,806,1201,"AK"
"Alaska",2019,881,1220,806,1201,"AK"
"Arizona",2015,715,880,652,933,"AZ"
"Arizona",2015,715,880,652,933,"AZ"
"Arizona",2015,715,880,652,933,"AZ"
"Arizona",2016,751,935,679,976,"AZ"
"Arizona",2016,751,935,679,976,"AZ"
"Arizona",2016,751,935,679,976,"AZ"
"Arizona",2017,804,965,802,1020,"AZ"
"Arizona",2017,804,965,802,1020,"AZ"
"Arizona",2017,804,965,802,1020,"AZ"
"Arizona",2018,842,1007,758,1036,"AZ"
"Arizona",2018,842,1007,758,1036,"AZ"
"Arizona",2018,842,1007,758,1036,"AZ"
"Arizona",2019,889,1083,788,1101,"AZ"
"Arizona",2019,889,1083,788,1101,"AZ"
"Arizona",2019,889,1083,788,1101,"AZ"
"Arkansas",2015,519,673,514,695,"AR"
"Arkansas",2015,519,673,514,695,"AR"
"Arkansas",2015,519,673,514,695,"AR"
"Arkansas",2016,551,687,502,701,"AR"
"Arkansas",2016,551,687,502,701,"AR"
"Arkansas",2016,551,687,502,701,"AR"
"Arkansas",2017,539,682,499,711,"AR"
"Arkansas",2017,539,682,499,711,"AR"
"Arkansas",2017,539,682,499,711,"AR"
"Arkansas",2018,548,700,588,731,"AR"
"Arkansas",2018,548,700,588,731,"AR"
"Arkansas",2018,548,700,588,731,"AR"
"Arkansas",2019,576,714,536,742,"AR"
"Arkansas",2019,576,714,536,742,"AR"
"Arkansas",2019,576,714,536,742,"AR"
"California",2015,1105,1325,960,1311,"CA"
"California",2015,1105,1325,960,1311,"CA"
"California",2015,1105,1325,960,1311,"CA"
"California",2016,1151,1392,1022,1375,"CA"
"California",2016,1151,1392,1022,1375,"CA"
"California",2016,1151,1392,1022,1375,"CA"
"California",2017,1208,1480,1086,1447,"CA"
"California",2017,1208,1480,1086,1447,"CA"
"California",2017,1208,1480,1086,1447,"CA"
"California",2018,1291,1562,1150,1520,"CA"
"California",2018,1291,1562,1150,1520,"CA"
"California",2018,1291,1562,1150,1520,"CA"
"California",2019,1379,1655,1248,1614,"CA"
"California",2019,1379,1655,1248,1614,"CA"
"California",2019,1379,1655,1248,1614,"CA"
"Colorado",2015,910,1098,815,1111,"CO"
"Colorado",2015,910,1098,815,1111,"CO"
"Colorado",2015,910,1098,815,1111,"CO"
"Colorado",2016,973,1162,855,1171,"CO"
"Colorado",2016,973,1162,855,1171,"CO"
"Colorado",2016,973,1162,855,1171,"CO"
"Colorado",2017,1051,1238,947,1240,"CO"
"Colorado",2017,1051,1238,947,1240,"CO"
"Colorado",2017,1051,1238,947,1240,"CO"
"Colorado",2018,1119,1302,976,1289,"CO"
"Colorado",2018,1119,1302,976,1289,"CO"
"Colorado",2018,1119,1302,976,1289,"CO"
"Colorado",2019,1196,1391,1068,1369,"CO"
"Colorado",2019,1196,1391,1068,1369,"CO"
"Colorado",2019,1196,1391,1068,1369,"CO"
"Connecticut",2015,905,1151,740,1108,"CT"
"Connecticut",2015,905,1151,740,1108,"CT"
"Connecticut",2015,905,1151,740,1108,"CT"
"Connecticut",2016,927,1158,722,1115,"CT"
"Connecticut",2016,927,1158,722,1115,"CT"
"Connecticut",2016,927,1158,722,1115,"CT"
"Connecticut",2017,927,1188,780,1125,"CT"
"Connecticut",2017,927,1188,780,1125,"CT"
"Connecticut",2017,927,1188,780,1125,"CT"
"Connecticut",2018,951,1226,802,1171,"CT"
"Connecticut",2018,951,1226,802,1171,"CT"
"Connecticut",2018,951,1226,802,1171,"CT"
"Connecticut",2019,964,1233,846,1177,"CT"
"Connecticut",2019,964,1233,846,1177,"CT"
"Connecticut",2019,964,1233,846,1177,"CT"
"Delaware",2015,827,1028,823,1049,"DE"
"Delaware",2015,827,1028,823,1049,"DE"
"Delaware",2015,827,1028,823,1049,"DE"
"Delaware",2016,860,1020,870,1048,"DE"
"Delaware",2016,860,1020,870,1048,"DE"
"Delaware",2016,860,1020,870,1048,"DE"
"Delaware",2017,880,1099,842,1086,"DE"
"Delaware",2017,880,1099,842,1086,"DE"
"Delaware",2017,880,1099,842,1086,"DE"
"Delaware",2018,875,1093,864,1108,"DE"
"Delaware",2018,875,1093,864,1108,"DE"
"Delaware",2018,875,1093,864,1108,"DE"
"Delaware",2019,932,1112,973,1116,"DE"
"Delaware",2019,932,1112,973,1116,"DE"
"Delaware",2019,932,1112,973,1116,"DE"
"District of Columbia",2015,1388,1347,1376,1417,"DC"
"District of Columbia",2015,1388,1347,1376,1417,"DC"
"District of Columbia",2015,1388,1347,1376,1417,"DC"
"District of Columbia",2016,1326,1348,1358,1376,"DC"
"District of Columbia",2016,1326,1348,1358,1376,"DC"
"District of Columbia",2016,1326,1348,1358,1376,"DC"
"District of Columbia",2017,1352,1566,1541,1499,"DC"
"District of Columbia",2017,1352,1566,1541,1499,"DC"
"District of Columbia",2017,1352,1566,1541,1499,"DC"
"District of Columbia",2018,1504,1432,1514,1516,"DC"
"District of Columbia",2018,1504,1432,1514,1516,"DC"
"District of Columbia",2018,1504,1432,1514,1516,"DC"
"District of Columbia",2019,1607,1594,1573,1603,"DC"
"District of Columbia",2019,1607,1594,1573,1603,"DC"
"District of Columbia",2019,1607,1594,1573,1603,"DC"
"Florida",2015,845,1024,783,1046,"FL"
"Florida",2015,845,1024,783,1046,"FL"
"Florida",2015,845,1024,783,1046,"FL"
"Florida",2016,884,1073,840,1086,"FL"
"Florida",2016,884,1073,840,1086,"FL"
"Florida",2016,884,1073,840,1086,"FL"
"Florida",2017,938,1113,858,1128,"FL"
"Florida",2017,938,1113,858,1128,"FL"
"Florida",2017,938,1113,858,1128,"FL"
"Florida",2018,974,1176,931,1182,"FL"
"Florida",2018,974,1176,931,1182,"FL"
"Florida",2018,974,1176,931,1182,"FL"
"Florida",2019,1040,1240,1002,1238,"FL"
"Florida",2019,1040,1240,1002,1238,"FL"
"Florida",2019,1040,1240,1002,1238,"FL"
"Georgia",2015,785,852,753,909,"GA"
"Georgia",2015,785,852,753,909,"GA"
"Georgia",2015,785,852,753,909,"GA"
"Georgia",2016,823,871,722,933,"GA"
"Georgia",2016,823,871,722,933,"GA"
"Georgia",2016,823,871,722,933,"GA"
"Georgia",2017,859,887,761,958,"GA"
"Georgia",2017,859,887,761,958,"GA"
"Georgia",2017,859,887,761,958,"GA"
"Georgia",2018,917,940,853,1008,"GA"
"Georgia",2018,917,940,853,1008,"GA"
"Georgia",2018,917,940,853,1008,"GA"
"Georgia",2019,985,977,885,1049,"GA"
"Georgia",2019,985,977,885,1049,"GA"
"Georgia",2019,985,977,885,1049,"GA"
"Hawaii",2015,1173,1457,987,1500,"HI"
"Hawaii",2015,1173,1457,987,1500,"HI"
"Hawaii",2015,1173,1457,987,1500,"HI"
"Hawaii",2016,1143,1519,1061,1483,"HI"
"Hawaii",2016,1143,1519,1061,1483,"HI"
"Hawaii",2016,1143,1519,1061,1483,"HI"
"Hawaii",2017,1166,1598,1070,1573,"HI"
"Hawaii",2017,1166,1598,1070,1573,"HI"
"Hawaii",2017,1166,1598,1070,1573,"HI"
"Hawaii",2018,1186,1614,1016,1613,"HI"
"Hawaii",2018,1186,1614,1016,1613,"HI"
"Hawaii",2018,1186,1614,1016,1613,"HI"
"Hawaii",2019,1211,1719,1078,1651,"HI"
"Hawaii",2019,1211,1719,1078,1651,"HI"
"Hawaii",2019,1211,1719,1078,1651,"HI"
"Idaho",2015,572,720,515,770,"ID"
"Idaho",2015,572,720,515,770,"ID"
"Idaho",2015,572,720,515,770,"ID"
"Idaho",2016,575,740,570,790,"ID"
"Idaho",2016,575,740,570,790,"ID"
"Idaho",2016,575,740,570,790,"ID"
"Idaho",2017,603,769,605,822,"ID"
"Idaho",2017,603,769,605,822,"ID"
"Idaho",2017,603,769,605,822,"ID"
"Idaho",2018,620,814,599,848,"ID"
"Idaho",2018,620,814,599,848,"ID"
"Idaho",2018,620,814,599,848,"ID"
"Idaho",2019,681,843,625,880,"ID"
"Idaho",2019,681,843,625,880,"ID"
"Idaho",2019,681,843,625,880,"ID"
"Illinois",2015,802,945,753,936,"IL"
"Illinois",2015,802,945,753,936,"IL"
"Illinois",2015,802,945,753,936,"IL"
"Illinois",2016,833,952,786,950,"IL"
"Illinois",2016,833,952,786,950,"IL"
"Illinois",2016,833,952,786,950,"IL"
"Illinois",2017,851,977,801,974,"IL"
"Illinois",2017,851,977,801,974,"IL"
"Illinois",2017,851,977,801,974,"IL"
"Illinois",2018,860,1000,842,995,"IL"
"Illinois",2018,860,1000,842,995,"IL"
"Illinois",2018,860,1000,842,995,"IL"
"Illinois",2019,894,1023,855,1020,"IL"
"Illinois",2019,894,1023,855,1020,"IL"
"Illinois",2019,894,1023,855,1020,"IL"
"Indiana",2015,607,769,578,758,"IN"
"Indiana",2015,607,769,578,758,"IN"
"Indiana",2015,607,769,578,758,"IN"
"Indiana",2016,616,775,570,768,"IN"
"Indiana",2016,616,775,570,768,"IN"
"Indiana",2016,616,775,570,768,"IN"
"Indiana",2017,647,803,590,793,"IN"
"Indiana",2017,647,803,590,793,"IN"
"Indiana",2017,647,803,590,793,"IN"
"Indiana",2018,677,827,627,820,"IN"
"Indiana",2018,677,827,627,820,"IN"
"Indiana",2018,677,827,627,820,"IN"
"Indiana",2019,685,843,661,840,"IN"
"Indiana",2019,685,843,661,840,"IN"
"Indiana",2019,685,843,661,840,"IN"
"Iowa",2015,556,741,543,718,"IA"
"Iowa",2015,556,741,543,718,"IA"
"Iowa",2015,556,741,543,718,"IA"
"Iowa",2016,580,759,582,741,"IA"
"Iowa",2016,580,759,582,741,"IA"
"Iowa",2016,580,759,582,741,"IA"
"Iowa",2017,592,771,562,760,"IA"
"Iowa",2017,592,771,562,760,"IA"
"Iowa",2017,592,771,562,760,"IA"
"Iowa",2018,604,797,631,777,"IA"
"Iowa",2018,604,797,631,777,"IA"
"Iowa",2018,604,797,631,777,"IA"
"Iowa",2019,620,826,568,808,"IA"
"Iowa",2019,620,826,568,808,"IA"
"Iowa",2019,620,826,568,808,"IA"
"Kansas",2015,584,776,593,782,"KS"
"Kansas",2015,584,776,593,782,"KS"
"Kansas",2015,584,776,593,782,"KS"
"Kansas",2016,623,780,589,789,"KS"
"Kansas",2016,623,780,589,789,"KS"
"Kansas",2016,623,780,589,789,"KS"
"Kansas",2017,652,822,617,815,"KS"
"Kansas",2017,652,822,617,815,"KS"
"Kansas",2017,652,822,617,815,"KS"
"Kansas",2018,657,836,707,840,"KS"
"Kansas",2018,657,836,707,840,"KS"
"Kansas",2018,657,836,707,840,"KS"
"Kansas",2019,682,837,651,862,"KS"
"Kansas",2019,682,837,651,862,"KS"
"Kansas",2019,682,837,651,862,"KS"
"Kentucky",2015,558,690,508,702,"KY"
"Kentucky",2015,558,690,508,702,"KY"
"Kentucky",2015,558,690,508,702,"KY"
"Kentucky",2016,560,696,500,707,"KY"
"Kentucky",2016,560,696,500,707,"KY"
"Kentucky",2016,560,696,500,707,"KY"
"Kentucky",2017,578,703,507,724,"KY"
"Kentucky",2017,578,703,507,724,"KY"
"Kentucky",2017,578,703,507,724,"KY"
"Kentucky",2018,616,772,575,779,"KY"
"Kentucky",2018,616,772,575,779,"KY"
"Kentucky",2018,616,772,575,779,"KY"
"Kentucky",2019,652,760,574,773,"KY"
"Kentucky",2019,652,760,574,773,"KY"
"Kentucky",2019,652,760,574,773,"KY"
"Louisiana",2015,678,789,653,800,"LA"
"Louisiana",2015,678,789,653,800,"LA"
"Louisiana",2015,678,789,653,800,"LA"
"Louisiana",2016,681,802,632,808,"LA"
"Louisiana",2016,681,802,632,808,"LA"
"Louisiana",2016,681,802,632,808,"LA"
"Louisiana",2017,700,821,587,836,"LA"
"Louisiana",2017,700,821,587,836,"LA"
"Louisiana",2017,700,821,587,836,"LA"
"Louisiana",2018,732,844,614,854,"LA"
"Louisiana",2018,732,844,614,854,"LA"
"Louisiana",2018,732,844,614,854,"LA"
"Louisiana",2019,742,863,710,866,"LA"
"Louisiana",2019,742,863,710,866,"LA"
"Louisiana",2019,742,863,710,866,"LA"
"Maine",2015,619,859,665,792,"ME"
"Maine",2015,619,859,665,792,"ME"
"Maine",2015,619,859,665,792,"ME"
"Maine",2016,632,866,594,797,"ME"
"Maine",2016,632,866,594,797,"ME"
"Maine",2016,632,866,594,797,"ME"
"Maine",2017,647,868,529,806,"ME"
"Maine",2017,647,868,529,806,"ME"
"Maine",2017,647,868,529,806,"ME"
"Maine",2018,693,903,623,839,"ME"
"Maine",2018,693,903,623,839,"ME"
"Maine",2018,693,903,623,839,"ME"
"Maine",2019,673,909,727,870,"ME"
"Maine",2019,673,909,727,870,"ME"
