"statename","year","BDRM1","BDRM2","Studio","MGR_all","state","homeless_total","homeless_individual","homeless_family","population","homeless_total_rate","homeless_individual_rate","homeless_family_rate"
"Alabama",2015,567,702,606,729,"AL",3970,2868,1102,4852347,0.08,0.06,0.02
"Alabama",2015,567,702,606,729,"AL",3970,2868,1102,4852347,0.08,0.06,0.02
"Alabama",2015,567,702,606,729,"AL",3970,2868,1102,4852347,0.08,0.06,0.02
"Alabama",2016,575,714,536,743,"AL",4111,3019,1092,4863525,0.08,0.06,0.02
"Alabama",2016,575,714,536,743,"AL",4111,3019,1092,4863525,0.08,0.06,0.02
"Alabama",2016,575,714,536,743,"AL",4111,3019,1092,4863525,0.08,0.06,0.02
"Alabama",2017,587,721,590,750,"AL",3793,2985,808,4874486,0.08,0.06,0.02
"Alabama",2017,587,721,590,750,"AL",3793,2985,808,4874486,0.08,0.06,0.02
"Alabama",2017,587,721,590,750,"AL",3793,2985,808,4874486,0.08,0.06,0.02
"Alabama",2018,605,752,586,788,"AL",3434,2570,864,4887681,0.07,0.05,0.02
"Alabama",2018,605,752,586,788,"AL",3434,2570,864,4887681,0.07,0.05,0.02
"Alabama",2018,605,752,586,788,"AL",3434,2570,864,4887681,0.07,0.05,0.02
"Alabama",2019,651,777,562,807,"AL",3261,2519,742,4903185,0.07,0.05,0.02
"Alabama",2019,651,777,562,807,"AL",3261,2519,742,4903185,0.07,0.05,0.02
"Alabama",2019,651,777,562,807,"AL",3261,2519,742,4903185,0.07,0.05,0.02
"Alaska",2015,892,1170,800,1163,"AK",1956,1342,614,737498,0.27,0.18,0.08
"Alaska",2015,892,1170,800,1163,"AK",1956,1342,614,737498,0.27,0.18,0.08
"Alaska",2015,892,1170,800,1163,"AK",1956,1342,614,737498,0.27,0.18,0.08
"Alaska",2016,936,1203,744,1208,"AK",1940,1527,413,741456,0.26,0.21,0.06
"Alaska",2016,936,1203,744,1208,"AK",1940,1527,413,741456,0.26,0.21,0.06
"Alaska",2016,936,1203,744,1208,"AK",1940,1527,413,741456,0.26,0.21,0.06
"Alaska",2017,853,1208,760,1201,"AK",1845,1354,491,739700,0.25,0.18,0.07
"Alaska",2017,853,1208,760,1201,"AK",1845,1354,491,739700,0.25,0.18,0.07
"Alaska",2017,853,1208,760,1201,"AK",1845,1354,491,739700,0.25,0.18,0.07
"Alaska",2018,897,1162,822,1177,"AK",2016,1434,582,735139,0.27,0.2,0.08
